elapsed_seconds,status,shoulder_width_current,shoulder_width_deviation,shoulder_width_status,shoulder_tilt_current,shoulder_tilt_deviation,shoulder_tilt_status,head_drop_ratio_current,head_drop_ratio_deviation,head_drop_ratio_status,forward_head_ratio_current,forward_head_ratio_deviation,forward_head_ratio_status,head_tilt_current,head_tilt_deviation,head_tilt_status
2.87,good,0.3860,0.0050,good,178.5990,43.7155,good,0.4259,0.0085,good,-0.4701,0.0053,good,-178.4377,88.9994,good
2.91,good,0.3871,0.0079,good,178.5665,43.6829,good,0.4259,0.0085,good,-0.4700,0.0052,good,-178.3570,88.9187,good
2.97,good,0.3885,0.0115,good,178.4752,43.5917,good,0.4261,0.0087,good,-0.4704,0.0055,good,-178.4608,89.0225,good
2.99,good,0.3899,0.0151,good,178.3840,43.5005,good,0.4263,0.0090,good,-0.4707,0.0058,good,-178.5647,89.1264,good
3.02,good,0.3911,0.0183,good,178.3252,43.4417,good,0.4263,0.0090,good,-0.4709,0.0060,good,-178.6066,89.1683,good
3.08,good,0.3921,0.0209,good,178.2712,43.3876,good,0.4267,0.0093,good,-0.4718,0.0069,good,-178.5529,89.1146,good
3.10,good,0.3931,0.0236,good,178.2172,43.3336,good,0.4270,0.0096,good,-0.4726,0.0077,good,-178.4992,89.0609,good
3.13,good,0.3939,0.0255,good,178.2168,43.3333,good,0.4264,0.0090,good,-0.4727,0.0079,good,-178.5031,89.0648,good
3.16,good,0.3946,0.0275,good,178.2164,43.3329,good,0.4257,0.0083,good,-0.4729,0.0080,good,-178.5071,89.0688,good
3.18,good,0.3952,0.0289,good,178.2495,43.3659,good,0.4249,0.0076,good,-0.4728,0.0079,good,-178.6119,89.1736,good
3.22,good,0.3952,0.0290,good,178.3307,43.4471,good,0.4234,0.0060,good,-0.4726,0.0077,good,-178.5496,89.1113,good
3.24,good,0.3953,0.0292,good,178.4119,43.5284,good,0.4219,0.0045,good,-0.4725,0.0076,good,-178.4873,89.0490,good
3.27,good,0.3947,0.0277,good,178.4999,43.6163,good,0.4203,0.0030,good,-0.4728,0.0079,good,-178.4693,89.0310,good
3.32,good,0.3937,0.0252,good,178.5936,43.7100,good,0.4193,0.0020,good,-0.4726,0.0077,good,-178.5322,89.0939,good
3.36,good,0.3920,0.0207,good,178.7518,43.8683,good,0.4170,0.0004,good,-0.4711,0.0062,good,-178.3813,88.9430,good
3.39,good,0.3903,0.0162,good,178.9100,44.0265,good,0.4146,0.0027,good,-0.4695,0.0046,good,-178.2305,88.7922,good
3.43,good,0.3879,0.0099,good,178.9538,44.0703,good,0.4140,0.0034,good,-0.4695,0.0046,good,-178.2039,88.7656,good
3.45,good,0.3855,0.0037,good,178.9814,44.0979,good,0.4133,0.0040,good,-0.4696,0.0047,good,-178.3259,88.8876,good
3.48,good,0.3827,0.0037,good,178.9911,44.1076,good,0.4123,0.0051,good,-0.4701,0.0053,good,-178.4394,89.0011,good
3.52,good,0.3801,0.0105,good,179.0206,44.1371,good,0.4117,0.0057,good,-0.4705,0.0057,good,-178.4653,89.0270,good
3.55,good,0.3774,0.0173,good,179.0500,44.1665,good,0.4110,0.0063,good,-0.4709,0.0061,good,-178.4912,89.0529,good
3.58,good,0.3740,0.0261,good,179.0304,44.1469,good,0.4117,0.0056,good,-0.4723,0.0074,good,-178.4156,88.9773,good
3.62,good,0.3702,0.0361,good,178.9650,44.0815,good,0.4137,0.0037,good,-0.4735,0.0087,good,-178.5158,89.0775,good
3.65,good,0.3663,0.0462,good,178.8997,44.0162,good,0.4156,0.0018,good,-0.4748,0.0099,good,-178.6160,89.1777,good
3.67,good,0.3624,0.0565,good,178.8472,43.9636,good,0.4183,0.0010,good,-0.4761,0.0112,good,-178.4972,89.0589,good
3.71,good,0.3593,0.0646,good,178.7579,43.8744,good,0.4214,0.0041,good,-0.4785,0.0136,good,-178.3935,88.9552,good
3.78,good,0.3563,0.0722,good,178.6481,43.7646,good,0.4249,0.0075,good,-0.4814,0.0165,good,-178.5098,89.0715,good
3.81,good,0.3534,0.0799,good,178.5384,43.6549,good,0.4283,0.0109,good,-0.4843,0.0195,good,-178.6261,89.1878,good
3.83,caution,0.3505,0.0873,caution,178.4014,43.5179,good,0.4310,0.0137,good,-0.4861,0.0212,good,-178.6624,89.2241,good
3.86,caution,0.3477,0.0947,caution,178.2645,43.3810,good,0.4338,0.0164,good,-0.4879,0.0230,good,-178.6987,89.2604,good
3.89,caution,0.3452,0.1012,caution,178.0853,43.2017,good,0.4368,0.0195,good,-0.4887,0.0238,good,-178.7710,89.3327,good
3.92,caution,0.3423,0.1086,caution,177.9424,43.0589,good,0.4414,0.0241,good,-0.4911,0.0262,good,-148.9456,59.5074,good
3.95,caution,0.3395,0.1161,caution,177.7996,42.9161,good,0.4460,0.0287,good,-0.4935,0.0286,good,-119.1203,29.6820,good
3.98,caution,0.3373,0.1217,caution,177.6803,42.7968,good,0.4497,0.0323,good,-0.4952,0.0303,good,-89.3219,0.1164,good
4.02,caution,0.3360,0.1253,caution,177.5798,42.6963,good,0.4520,0.0346,good,-0.4960,0.0311,good,-59.3903,30.0480,good
